AMYNT.	Amyntas	 heleníst. 	 	 historicus 	 	 	 	 	 				
AMYNTIANUS	Amyntianus	 II d. C. 	 	 historicus	 	 	 	 	 				
ANACH.	Anacharsis	 	 	 epistolographus et philosophus 	 	 	 	 	 				
	 	 	 	 	Apoph 	Apophthegmata 	 	 	 				
ANACR.	Anacreo	 VI a. C. 	 	 lyricus 	 	 	 	 	 				
ANACR. IUN.	Anacreo Iunior	 IV/II a. C. 	 	 phaenomenorum scriptor 	 	 	 	 	 				
ANACREONT.	Anacreontea	 V/VI d. C. 	 	 	 	 	 	 	 				
ANAN.	Ananius	 VI a. C. 	 	 lyricus 	 	 	 	 	 				
ANAPH. PIL.	Anaphora Pilati A, B	 	 	 	 	 	 	 	 				
ANAPHORARUM FRAGMENTA PAPYRACEA	Anaphorarum Fragmenta Papyracea	 	 	 (Anaph. Fr. Pap. )	 	 	 	 	 				
ANAST. ANT.	Anastasius Antiochenus	 VI d. C. 	 	 scriptor ecclesiasticus 	 	 	 	 	 				
	 	 	 	 	Anec 	Anecdota 	 	 	 				
	 	 	 	 	Fid 	Explicatio breuis fidei orthodoxae 	 	 	 				
	 	 	 	 	Serm 	Sermones 	 	 	 				
	 	 	 	 	Trib 	Sermo de tribus quadragesimis 	 	 	 				
	 	 	 	 	Fr 	Fragmenta 	 	 	 				
	 	 	 	 	Sac 	de sacerdotio 	 	 	 				
	 	 	 	 	Vit. Exced 	Sermo de iis qui uita excedunt 	 	 	 				
ANASTASIUS TRAULUS	Anastasius Traulus	 biz. 	 	 epigrammaticus	 	 	 	 	 				
ANAT.	Anatol(i)us	 V d. C. 	 	 ueterinarius 	 	 	 	 	 				
	 	 	 	 	Bub 	de bubus 	 	 	 				
	 	 	 	 	Equ 	de equis 	 	 	 				
	 	 	 	 	Exc 	Excerpta 	 	 	 				
ANAT. CP	Anatolius Constantinopolitanus	 V d. C. 	 	 scriptor ecclesiasticus 	 	 	 	 	 				
	 	 	 	 	Ep 	Epistulae 	 	 	 				
ANAT. LAOD.	Anatolius Laodicenus	 III d. C. 	 	 scriptor ecclesiasticus 	 	 	 	 	 				
	 	 	 	 	Arith 	Fragmenta ex libris arithmeticorum 	 	 	 				
	 	 	 	 	Can. Pasch 	Fragmentum ex canone paschali 	 	 	 				
	 	 	 	 	Decad 	de decade 	 	 	 				
ANAXAG.	Anaxagoras	 V a. C. 	 	 philosophus 	 	 	 	 	 				
ANAXANDR.	Anaxandrides	 IV a. C. 	 	 comicus 	 	 	 	 	 				
ANAXANDR. HIST.	Anaxandrides	 III/II a. C. 	 	 historicus 	 	 	 	 	 				
ANAXARCH.	Anaxarchus	 IV a. C. 	 	 philosophus 	 	 	 	 	 				
ANAXIC.	Anaxicrates	 III d. C. 	 	 historicus 	 	 	 	 	 				
ANAXIL.	Anaxilas	 IV a. C. 	 	 comicus 	 	 	 	 	 				
ANAXIMAND. HIST.	Anaximander	 IV a. C. 	 	 historicus 	 	 	 	 	 				
ANAXIMAND.	Anaximander	 VI a. C. 	 	 philosophus 	 	 	 	 	 				
